output,parameter,lengthscale,sensitivity,rank
output_0,P,0.3475811779499054,0.3269354144228653,1.0
output_0,H,0.5128263235092163,0.22158885230585823,2.0
output_0,G,0.6257386207580566,0.1816039360347839,3.0
output_0,W,0.8093457818031311,0.14040549665369295,4.0
output_0,T,0.8777310848236084,0.12946630058279956,5.0
output_1,P,0.14048972725868225,0.6235818015305103,1.0
output_1,T,0.3904685080051422,0.22436338763418381,2.0
output_1,H,1.0453659296035767,0.08380494785564838,3.0
output_1,G,1.28669273853302,0.06808683580540072,4.0
output_1,W,537.3756713867188,0.00016302717425674724,5.0
output_2,H,0.5119103193283081,0.5646427463301251,1.0
output_2,G,0.8276337385177612,0.34924440018350483,2.0
output_2,T,3.3638229370117188,0.08592796172471674,3.0
output_2,W,2980.173583984375,9.698980292074915e-05,4.0
output_2,P,3288.2822265625,8.790195873254778e-05,5.0
output_3,P,1.1246057748794556,0.32984024071123147,1.0
output_3,H,1.5762320756912231,0.23533351795852311,2.0
output_3,G,1.5989793539047241,0.23198563420199314,3.0
output_3,W,2.075984477996826,0.17868160548551448,4.0
output_3,T,15.354121208190918,0.024159001642737862,5.0
