output,parameter,lengthscale,sensitivity,rank
output_0,P,0.4828181862831116,0.25044751445287444,1.0
output_0,H,0.5237509608268738,0.23087425843829737,2.0
output_0,G,0.6360698342323303,0.19010587859930309,3.0
output_0,W,0.7337465882301331,0.16479887828701503,4.0
output_0,T,0.7383406758308411,0.1637734702225101,5.0
output_1,P,0.1344670206308365,0.7763925585061707,1.0
output_1,T,0.46730881929397583,0.2234051442470241,2.0
output_1,G,863.5215454101562,0.00012089935073095316,3.0
output_1,W,2517.30126953125,4.14726657654757e-05,4.0
output_1,H,2614.86767578125,3.9925230308675405e-05,5.0
output_2,H,0.4493890404701233,0.5309837749031416,1.0
output_2,G,0.7386646866798401,0.3230400659620964,2.0
output_2,P,2.388406276702881,0.09990690923754052,3.0
output_2,T,5.1863579750061035,0.046008835151539265,4.0
output_2,W,3949.669677734375,6.041474568217663e-05,5.0
output_3,P,1.3280220031738281,0.33668861690114643,1.0
output_3,H,1.8374179601669312,0.24334686018975452,2.0
output_3,W,2.225846290588379,0.2008808484905272,3.0
output_3,G,2.2268142700195312,0.20079352709508386,4.0
output_3,T,24.446489334106445,0.01829014732348805,5.0
